Date,Description,Original Description,Amount,Type,Parent Category,Category,Account,Tags,Memo,Pending
4/21/2026,Non-Sufficient Funds Fee,ACH NSF FEE  / PAYPAL %% ACH ECC WEB,29,Debit,Fees & Charges,Banking Fee,BASIC CHECKING,,PAYPAL %% ACH ECC WEB,FALSE
4/17/2026,Transfer to Share 80,Withdrawal Transfer To Share 80 ,0.06,Debit,Transfer,Transfer,FARANDA,,Transactions,FALSE
4/17/2026,Non-Sufficient Funds Fee,ATMDEBIT NSF FEE ,29,Debit,Fees & Charges,Banking Fee,BASIC CHECKING,,Transactions,FALSE
4/17/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/16/26 24055236107718525009372 4829 %% Card 25 #6736,10,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/16/26 24055236107718525009372 4829 %% Card 25 #6736,FALSE
4/17/2026,Non-Sufficient Funds Fee,ATMDEBIT NSF FEE ,29,Debit,Fees & Charges,Banking Fee,BASIC CHECKING,,Transactions,FALSE
4/17/2026,Walgreens,Withdrawal Signature base  / WALGREENS #3842 LAS VEGAS NV Date 04/16/26 24445006107000762992131 5912 %% Card 25 #6736,6.29,Debit,Health & Fitness,Pharmacy,BASIC CHECKING,,WALGREENS #3842 LAS VEGAS NV Date 04/16/26 24445006107000762992131 5912 %% Card 25 #6736,FALSE
4/17/2026,Transfer from Share 01,Deposit Transfer From Share 01 ,0.06,Credit,Transfer,Transfer,BASIC CHECKING,,Transactions,FALSE
4/17/2026,Non-Sufficient Funds Fee,ACH NSF FEE  / PAYPAL %% ACH ECC WEB,29,Debit,Fees & Charges,Banking Fee,BASIC CHECKING,,PAYPAL %% ACH ECC WEB,FALSE
4/16/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH BALANCE ADD 1INFINITELOOP CA Date 04/15/26 24055236106717150520092 4829 %% Card 25 #6736,25,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH BALANCE ADD 1INFINITELOOP CA Date 04/15/26 24055236106717150520092 4829 %% Card 25 #6736,FALSE
4/14/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/13/26 24055236104714977456420 4829 %% Card 25 #6736,30,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/13/26 24055236104714977456420 4829 %% Card 25 #6736,FALSE
4/14/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/13/26 24055236104714895385081 4829 %% Card 25 #6736,15,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/13/26 24055236104714895385081 4829 %% Card 25 #6736,FALSE
4/14/2026,Transfer from Venmo,"Deposit Kiosk  / VENMO/JPMORGAN CHASE BANK, NA/26041419648822839",5.75,Credit,Transfer,Transfer,BASIC CHECKING,,"VENMO/JPMORGAN CHASE BANK, NA/26041419648822839",FALSE
4/14/2026,Transfer from Venmo,"Deposit Kiosk  / VENMO/JPMORGAN CHASE BANK, NA/26041419008759634",9.75,Credit,Transfer,Transfer,BASIC CHECKING,,"VENMO/JPMORGAN CHASE BANK, NA/26041419008759634",FALSE
4/13/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/12/26 24055236103713907528598 4829 %% Card 25 #6736,6,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/12/26 24055236103713907528598 4829 %% Card 25 #6736,FALSE
4/13/2026,T-Mobile,Withdrawal T-MOBILE  / TYPE: HANDSET  ID: 0000450304 DATA: 800-937-8997  CO: T-MOBILE %% ACH ECC TEL %% ACH Trace 021000023396993,164.59,Debit,Bills & Utilities,Mobile Phone,BASIC CHECKING,,TYPE: HANDSET  ID: 0000450304 DATA: 800-937-8997  CO: T-MOBILE %% ACH ECC TEL %% ACH Trace 021000023396993,FALSE
4/13/2026,PayPal,Withdrawal PAYPAL  / TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000012061148,4.49,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000012061148,FALSE
4/12/2026,Sonic,Withdrawal Signature base  / SONIC DRIVE IN #3431 505-524-8998 NV Date 04/11/26 XXXXXXXXXXXXXXXXXXX9175 5814 %% Card 25 #6736,11.91,Debit,Food & Dining,Fast Food,BASIC CHECKING,,SONIC DRIVE IN #3431 505-524-8998 NV Date 04/11/26 24055246102713047529175 5814 %% Card 25 #6736,FALSE
4/12/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/11/26 24055236102712808538533 4829 %% Card 25 #6736,50,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/11/26 24055236102712808538533 4829 %% Card 25 #6736,FALSE
4/11/2026,Sonic,Withdrawal Signature base  / SONIC DRIVE IN #3431 505-524-8998 NV Date 04/10/26 XXXXXXXXXXXXXXXXXXX4627 5814 %% Card 25 #6736,3.46,Debit,Food & Dining,Fast Food,BASIC CHECKING,,SONIC DRIVE IN #3431 505-524-8998 NV Date 04/10/26 24055246101711899364627 5814 %% Card 25 #6736,FALSE
4/11/2026,Transfer to Apple Pay,Withdrawal Signature base  / APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/10/26 24055236101711648203937 4829 %% Card 25 #6736,20,Debit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH SENT MONEY 1INFINITELOOP CA Date 04/10/26 24055236101711648203937 4829 %% Card 25 #6736,FALSE
4/10/2026,Signature Base Nevada State College,Withdrawal Signature base  / NEVADA STATE COLLEGE 702-651-4490 NV Date 04/10/26 XXXXXXXXXXXXXXXXXXX5219 8220 %% Card 25 #6736,193.5,Debit,Education,Education,BASIC CHECKING,,NEVADA STATE COLLEGE 702-651-4490 NV Date 04/10/26 24493986100208764045219 8220 %% Card 25 #6736,FALSE
4/10/2026,WITHDRAWAL Signature base / Primo Water Corporatio Vista CA %% Card #,Withdrawal Signature base  / Primo Water Corporatio Vista CA Date 04/11/26 24793386100004801321063 5814 %% Card 25 #6736,3.1,Debit,Food & Dining,Food & Dining,BASIC CHECKING,,Primo Water Corporatio Vista CA Date 04/11/26 24793386100004801321063 5814 %% Card 25 #6736,FALSE
4/10/2026,WITHDRAWAL Signature base / Primo Water Corporatio Vista CA %% Card #,Withdrawal Signature base  / Primo Water Corporatio Vista CA Date 04/11/26 24793386100004796103062 5814 %% Card 25 #6736,3.1,Debit,Food & Dining,Food & Dining,BASIC CHECKING,,Primo Water Corporatio Vista CA Date 04/11/26 24793386100004796103062 5814 %% Card 25 #6736,FALSE
4/10/2026,WITHDRAWAL Signature base / Primo Water Corporatio Vista CA %% Card #,Withdrawal Signature base  / Primo Water Corporatio Vista CA Date 04/11/26 24793386100004795369060 5814 %% Card 25 #6736,3.1,Debit,Food & Dining,Food & Dining,BASIC CHECKING,,Primo Water Corporatio Vista CA Date 04/11/26 24793386100004795369060 5814 %% Card 25 #6736,FALSE
4/10/2026,Smith's,Withdrawal #000000500002  / SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437650,59.71,Debit,Food & Dining,Groceries,BASIC CHECKING,,SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437650,FALSE
4/10/2026,Sonic,Withdrawal Signature base  / SONIC DRIVE IN #3431 505-524-8998 NV Date 04/09/26 24055246100710670149216 5814 %% Card 25 #6736,4.11,Debit,Food & Dining,Fast Food,BASIC CHECKING,,SONIC DRIVE IN #3431 505-524-8998 NV Date 04/09/26 24055246100710670149216 5814 %% Card 25 #6736,FALSE
4/10/2026,Las Vegas Valley Payment Co Name Mark Faranda,Withdrawal LAS VEGAS VALLEY  / TYPE: PAYMENT  ID: 7530301301 CO: LAS VEGAS VALLEY  NAME: Mark Faranda %% ACH ECC WEB %% ACH Trace 031101115833914,45.77,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: PAYMENT  ID: 7530301301 CO: LAS VEGAS VALLEY  NAME: Mark Faranda %% ACH ECC WEB %% ACH Trace 031101115833914,FALSE
4/10/2026,IRS Tax Payment,Withdrawal IRS  / TYPE: USATAXPYMT  ID: 3387702000  CO: IRS %% ACH ECC PPD %% ACH Trace 061036010004189,25,Debit,Taxes,Federal Tax,BASIC CHECKING,,TYPE: USATAXPYMT  ID: 3387702000  CO: IRS %% ACH ECC PPD %% ACH Trace 061036010004189,FALSE
4/10/2026,Southwest Gas,Withdrawal SOUTHWEST GAS  / TYPE: PAYMENT  ID: 4880085720 CO: SOUTHWEST GAS  NAME: CHRISTINA FARANDA %% ACH ECC WEB %% ACH Trace 026009636708868,41.38,Debit,Bills & Utilities,Utilities,BASIC CHECKING,,TYPE: PAYMENT  ID: 4880085720 CO: SOUTHWEST GAS  NAME: CHRISTINA FARANDA %% ACH ECC WEB %% ACH Trace 026009636708868,FALSE
4/10/2026,PayPal,Withdrawal PAYPAL  / TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000014477226,21.66,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000014477226,FALSE
4/9/2026,Transfer To Share,Withdrawal Home Banking  / Transfer To Share 80  Internet Access 04/09/2026 10:12 411609,100,Debit,Transfer,Transfer,FARANDA,,Transfer To Share 80  Internet Access 04/09/2026 10:12 411609,FALSE
4/9/2026,Transfer To Share,Withdrawal Home Banking  / Transfer To Share 80  Internet Access 04/09/2026 10:06 411577,200,Debit,Transfer,Transfer,FARANDA,,Transfer To Share 80  Internet Access 04/09/2026 10:06 411577,FALSE
4/9/2026,TurboTax,Withdrawal Signature base  / INTUIT *TURBOTAX CL.INTUIT.COM CA Date 04/09/26 XXXXXXXXXXXXXXXXXXX8333 5734 %% Card 25 #6736,79,Debit,Taxes,Taxes,BASIC CHECKING,,INTUIT *TURBOTAX CL.INTUIT.COM CA Date 04/09/26 24692166099405295678333 5734 %% Card 25 #6736,FALSE
4/9/2026,Ring,Withdrawal Signature base  / RING MULTI PLAN RING.COM CA Date 04/09/26 24011346099100127267387 5045 %% Card 25 #6736,9.99,Debit,Home,Home Services,BASIC CHECKING,,RING MULTI PLAN RING.COM CA Date 04/09/26 24011346099100127267387 5045 %% Card 25 #6736,FALSE
4/9/2026,Amazon,Withdrawal Signature base  / AMAZON MARK* BC7IH6UJ1 AMAZON.COM/MA WA Date 04/09/26 24011346099100125531131 5999 %% Card 25 #6736,8.66,Debit,Shopping,Shopping,BASIC CHECKING,,AMAZON MARK* BC7IH6UJ1 AMAZON.COM/MA WA Date 04/09/26 24011346099100125531131 5999 %% Card 25 #6736,FALSE
4/9/2026,Smith's,Withdrawal #000000501287  / SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437601,225.9,Debit,Food & Dining,Groceries,BASIC CHECKING,,SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437601,FALSE
4/9/2026,Amazon,Withdrawal Signature base  / AMAZON MARK* BY9WD9NP2 AMAZON.COM/MA WA Date 04/09/26 24011346099100112325919 5999 %% Card 25 #6736,67.88,Debit,Shopping,Shopping,BASIC CHECKING,,AMAZON MARK* BY9WD9NP2 AMAZON.COM/MA WA Date 04/09/26 24011346099100112325919 5999 %% Card 25 #6736,FALSE
4/9/2026,Transfer from Account 01,Deposit Home Banking Transfer  / From Share 01  Internet Access 04/09/2026 10:12 411609,100,Credit,Transfer,Transfer,BASIC CHECKING,,From Share 01  Internet Access 04/09/2026 10:12 411609,FALSE
4/9/2026,Transfer from Account 01,Deposit Home Banking Transfer  / From Share 01  Internet Access 04/09/2026 10:06 411577,200,Credit,Transfer,Transfer,BASIC CHECKING,,From Share 01  Internet Access 04/09/2026 10:06 411577,FALSE
4/9/2026,Dutch Bros Coffee,Withdrawal Signature base  / DUTCH BROS NV0108 LAS V LAS VEGAS NV Date 04/08/26 24445006099500471384793 5814 %% Card 25 #6736,7.53,Debit,Food & Dining,Coffee Shops,BASIC CHECKING,,DUTCH BROS NV0108 LAS V LAS VEGAS NV Date 04/08/26 24445006099500471384793 5814 %% Card 25 #6736,FALSE
4/9/2026,Sorry Not Sorry Cre Henderson Nv,Withdrawal Signature base  / SQ *SORRY NOT SORRY CRE Henderson NV Date 04/08/26 24692166099404662682283 5814 %% Card 25 #6736,21.97,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,SQ *SORRY NOT SORRY CRE Henderson NV Date 04/08/26 24692166099404662682283 5814 %% Card 25 #6736,FALSE
4/9/2026,New American Funding,Withdrawal NEW AMERICAN FND  / TYPE: HOME LOAN  ID: 35058 DATA: MORTGAGE PAYMENT  NAME: MARK FARANDA CO: NEW AMERICAN FND %% ACH ECC WEB %% ACH Trace 021000025916839,1909.56,Debit,Home,Mortgage & Rent,BASIC CHECKING,,TYPE: HOME LOAN  ID: 35058 DATA: MORTGAGE PAYMENT  NAME: MARK FARANDA CO: NEW AMERICAN FND %% ACH ECC WEB %% ACH Trace 021000025916839,FALSE
4/9/2026,PayPal,Withdrawal PAYPAL  / TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000018302974,29.9,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000018302974,FALSE
4/9/2026,PayPal,Withdrawal PAYPAL  / TYPE: INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000017794570,20,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000017794570,FALSE
4/9/2026,PayPal,Withdrawal PAYPAL  / TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: 260408PPZUH7  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 021000028931700,7.1,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: 260408PPZUH7  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 021000028931700,FALSE
4/9/2026,PayPal,Withdrawal PAYPAL  / TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000010709239,39.02,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: PURCHASE  ID: PAYPALSI77  CO: PAYPAL DATA: INSTANT TRANSFER  NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000010709239,FALSE
4/8/2026,Transfer from Account 80,Deposit Home Banking Transfer  / From Share 80  Internet Access 04/08/2026 18:44 407662,300,Credit,Transfer,Transfer,FARANDA,,From Share 80  Internet Access 04/08/2026 18:44 407662,FALSE
4/8/2026,Transfer To Share,Withdrawal Home Banking  / Transfer To Share 01  Internet Access 04/08/2026 18:44 407662,300,Debit,Transfer,Transfer,BASIC CHECKING,,Transfer To Share 01  Internet Access 04/08/2026 18:44 407662,FALSE
4/8/2026,Costco,Withdrawal #609821746431  / COSTCO WHSE #1320 HENDERSON NV %% Card 25 #6736 TERMINAL: 99132014,347.75,Debit,Shopping,Shopping,BASIC CHECKING,,COSTCO WHSE #1320 HENDERSON NV %% Card 25 #6736 TERMINAL: 99132014,FALSE
4/8/2026,Optum,"Deposit Optum Services,  / TYPE: PAYROLL  ID: 1454683454 CO: Optum Services, %% ACH ECC PPD %% ACH Trace 051000011463717",3216.09,Credit,Income,Paycheck,BASIC CHECKING,,"TYPE: PAYROLL  ID: 1454683454 CO: Optum Services, %% ACH ECC PPD %% ACH Trace 051000011463717",FALSE
4/8/2026,Transfer from Apple Pay,Deposit #609822563638  / APPLE CASH INST XFER CUPERTINO CA %% Card 25 #6736 TERMINAL: 02222300,297.71,Credit,Transfer,Transfer,BASIC CHECKING,,APPLE CASH INST XFER CUPERTINO CA %% Card 25 #6736 TERMINAL: 02222300,FALSE
4/7/2026,Smith's,Withdrawal #000000512102  / SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437612,8.48,Debit,Food & Dining,Groceries,BASIC CHECKING,,SMITHS FOOD #4376 2385 E. WINDMILL LAS VEGAS NV %% Card 25 #6736 TERMINAL: 20437612,FALSE
4/6/2026,PayPal,Withdrawal PAYPAL  / TYPE: INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000010178495,21.66,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,TYPE: INST XFER  ID: PAYPALSI77 DATA: INSTANT TRANSFER  CO: PAYPAL NAME: MARK FARANDA %% ACH ECC WEB %% ACH Trace 091000010178495,FALSE
4/5/2026,Dutch Bros Coffee,Withdrawal Signature base  / DUTCH BROS NV0108 LAS V LAS VEGAS NV Date 04/04/26 XXXXXXXXXXXXXXXXXXX8318 5814 %% Card 25 #6736,20.29,Debit,Food & Dining,Coffee Shops,BASIC CHECKING,,DUTCH BROS NV0108 LAS V LAS VEGAS NV Date 04/04/26 24445006095500580298318 5814 %% Card 25 #6736,FALSE
4/5/2026,Pinkbox Eastern Henderson Nv Date 04/04/26 24445006095500580298235 5812 %% Card 25 #6736 via Payrix,Withdrawal Signature base  / PY *PINKBOX EASTERN HENDERSON NV Date 04/04/26 XXXXXXXXXXXXXXXXXXX8235 5812 %% Card 25 #6736,11.17,Debit,Uncategorized,Uncategorized,BASIC CHECKING,,PY *PINKBOX EASTERN HENDERSON NV Date 04/04/26 24445006095500580298235 5812 %% Card 25 #6736,FALSE
